Description	ID	nc	nt	sp
"Schizosaccharomyces specific protein"	21347	0	0	1
"acireductone dioxygenase family (predicted)"	21348	1	1	1
"Schizosaccharomyces specific protein"	21349	0	0	1
"Schizosaccharomyces specific protein Mug95"	21350	0	0	1
"mitochondrial proton-transporting ATP synthase complex assembly protein (predicted)"	21351	0	0	1
"GPI-mannosyltransferase II complex subunit Pga1 (predicted)"	21352	0	0	1
estExt_fgenesh1_pg.C_60607	21354	1	1	0
e_gw1.6.1837.1	21355	0	1	0
estExt_Genewise1.C_61009	21356	1	1	1
estExt_Genemark.C_60101	21357	1	1	0
e_gw1.5.1923.1	21358	0	1	0
fgenesh1_pm.5_#_159	21359	1	1	0
estExt_fgenesh1_pg.C_40618	21360	0	1	0
e_gw1.1.1488.1	21364	1	1	0
 Neurospora crassa OR74A hypothetical protein (179 aa)	21365	2	0	0
 Neurospora crassa OR74A hypothetical protein (179 aa)	21368	1	0	0
 Neurospora crassa OR74A hypothetical protein (179 aa)	21370	1	1	0
 Neurospora crassa OR74A hypothetical protein (179 aa)	21372	1	1	0
"mitochondrial protein"	21374	0	0	1
"middle-meiotic transcription factor Cuf2"	21376	0	0	1
"NatA N-acetyltransferase complex catalytic subunit Naa10 (predicted)"	21377	0	0	1
"Schizosaccharomyces specific protein"	21378	0	0	1
"Schizosaccharomyces pombe specific protein Mug121"	21379	0	0	1
estExt_Genewise1Plus.C_814303	21380	1	1	0
e_gw1.81.4587.1	21381	1	1	0
fgenesh1_pg.15_#_1	21382	0	1	0
fgenesh1_pg.6_#_809	21383	0	1	0
Genemark.6991_g	21384	0	1	0
e_gw1.6.1822.1	21385	1	1	0
estExt_fgenesh1_pm.C_60010	21386	1	1	0
estExt_Genemark.C_50803	21387	0	1	0
estExt_Genemark.C_50070	21388	1	1	0
estExt_Genewise1Plus.C_12125	21390	1	1	0
e_gw1.1.2966.1	21391	0	1	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21392	1	0	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21393	1	0	0
 Neurospora crassa OR74A short chain oxidoreductase (178 aa)	21394	2	0	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21400	1	1	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21403	1	0	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21405	1	0	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21406	1	0	0
 Neurospora crassa OR74A hypothetical protein (178 aa)	21407	1	1	0
"Schizosaccharomyces specific protein"	21409	0	0	1
"ubiquitin conjugating enzyme E2-C, Ubc11"	21410	1	0	1
"mitochondrial ribosomal protein subunit L28 (predicted)"	21412	0	0	1
"60S ribosomal protein L20 (predicted)"	21413	2	1	2
"Schizosaccharomyces pombe specific protein"	21415	0	0	1
estExt_Genewise1Plus.C_814187	21417	1	1	0
estExt_Genewise1.C_814047	21418	1	1	1
estExt_fgenesh1_pg.C_811442	21419	1	1	0
estExt_Genewise1.C_812225	21420	1	1	0
fgenesh1_pg.81_#_88	21422	0	1	0
fgenesh1_pm.5_#_196	21424	1	1	0
estExt_Genewise1Plus.C_30635	21425	1	1	0
e_gw1.2.2610.1	21426	1	1	0
fgenesh1_pg.1_#_1260	21427	0	1	0
fgenesh1_pg.1_#_794	21428	1	1	0
fgenesh1_pg.1_#_505	21429	0	1	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21430	1	0	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21438	1	0	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21439	1	0	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21441	1	1	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21443	1	1	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21445	1	0	0
 Neurospora crassa OR74A hypothetical protein (177 aa)	21446	1	1	0
"nucleoside-triphosphatase involved in SSU-rRNA maturation Fap7 (predicted)"	21449	1	1	1
"conserved fungal protein"	21451	0	0	1
"ESCRT II complex subunit Vps25"	21452	0	0	1
"TIM22 inner membrane protein import complex subunit Tim22 (predicted)"	21453	0	0	1
"F0-ATPase subunit D (predicted)"	21454	2	0	1
"mitochondrial recombinase Mhr1 (predicted)"	21455	0	0	1
"N-terminal of transmembrane channel, truncated"	21456	0	0	1
"mitochondrial mRNA processing protein Cox24/Pet20 (predicted)"	21457	0	0	1
"TIM23 translocase complex subunit Tim15 (predicted)"	21458	0	0	1
estExt_fgenesh1_kg.C_810040	21459	1	1	0
fgenesh1_pm.6_#_905	21460	0	1	0
e_gw1.6.1826.1	21461	0	1	0
fgenesh1_pm.4_#_444	21462	0	1	0
estExt_Genewise1.C_22605	21464	3	3	4
fgenesh1_pg.1_#_1367	21466	0	1	0
estExt_Genewise1.C_13316	21467	1	1	0
fgenesh1_pm.1_#_938	21468	1	1	0
estExt_fgenesh1_pg.C_10506	21469	0	1	0
estExt_fgenesh1_kg.C_10123	21471	1	1	0
 Neurospora crassa OR74A hypothetical protein (176 aa)	21473	1	0	0
 Neurospora crassa OR74A hypothetical protein (176 aa)	21474	1	1	0
 Neurospora crassa OR74A hypothetical protein (176 aa)	21481	1	0	0
 Neurospora crassa OR74A transmembrane domain-containing protein (176 aa)	21482	1	0	0
 Neurospora crassa OR74A hypothetical protein (176 aa)	21484	1	0	0
 Neurospora crassa OR74A hypothetical protein (176 aa)	21485	1	0	0
 Neurospora crassa OR74A hypothetical protein (176 aa)	21487	1	0	0
"calcineurin regulatory subunit (calcineurin B)"	21488	2	1	1
"EKC/KEOPS complex subunit Cgi121 (predicted)"	21489	0	0	1
"60S ribosomal protein L11 (predicted)"	21491	1	1	2
"human WW domain binding protein-2 ortholog"	21492	0	0	1
"SM22/transgelin-like actin modulating protein Stg1"	21494	0	0	1
gw1.81.2696.1	21496	0	1	0
estExt_Genemark.C_811181	21497	1	1	0
e_gw1.81.2733.1	21499	1	1	0
estExt_fgenesh1_kg.C_50318	21500	1	1	0
e_gw1.5.1837.1	21501	1	1	0
estExt_fgenesh1_pm.C_40450	21502	0	1	0
estExt_fgenesh1_pg.C_30819	21503	0	1	0
estExt_fgenesh1_kg.C_30054	21505	1	1	0
fgenesh1_pm.2_#_793	21507	1	1	0
Genemark.1715_g	21508	0	1	0
estExt_Genewise1Plus.C_12678	21509	0	1	0
e_gw1.1.2976.1	21512	1	1	0
 Neurospora crassa OR74A hypothetical protein (175 aa)	21513	1	1	0
 Neurospora crassa OR74A hypothetical protein (175 aa)	21514	1	0	0
 Neurospora crassa OR74A hypothetical protein (175 aa)	21515	1	0	0
 Neurospora crassa OR74A hypothetical protein (175 aa)	21516	1	0	0
 Neurospora crassa OR74A mitochondrial 30S ribosomal protein S12 (175 aa)	21522	1	1	1
 Neurospora crassa OR74A hypothetical protein (175 aa)	21526	1	0	0
 Neurospora crassa OR74A carbonic anhydrase (175 aa)	21529	1	1	0
"mitochondrial ribosomal protein subunit L12 (predicted)"	21530	0	0	1
"DNA-directed RNA polymerase I complex subunit Rpa43"	21531	0	0	1
"nascent polypeptide-associated complex alpha subunit Egd2"	21532	0	0	1
"copper transporter complex subunit Ctr5"	21534	0	0	1
fgenesh1_pg.81_#_1172	21537	0	1	0
estExt_fgenesh1_kg.C_810449	21538	1	1	0
estExt_fgenesh1_pg.C_50468	21541	1	1	0
estExt_fgenesh1_pg.C_40824	21542	1	1	0
estExt_Genewise1Plus.C_22531	21543	1	1	0
estExt_Genewise1Plus.C_21703	21544	0	1	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21546	1	0	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21547	1	0	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21548	1	0	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21550	1	1	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21551	1	0	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21552	1	0	0
 Neurospora crassa OR74A hypothetical protein (174 aa)	21553	1	1	0
 Neurospora crassa OR74A UPF0220 domain-containing protein (174 aa)	21556	1	1	1
"acid phosphatase (predicted)"	21562	0	0	1
"dubious"	21563	0	0	1
"Schizosaccharomyces specific protein"	21564	0	0	1
"Schizosaccharomyces specific protein New11"	21565	0	0	1
"meiotic cohesin complex associated protein Moa1"	21566	0	0	1
"DNA-directed RNA polymerase complex II subunit Rpb7"	21567	1	1	1
"palmitoyltransferase complex subunit Erf4"	21568	0	0	1
"mitochondrial CHCH domain protein (predicted)"	21569	1	0	1
"ribosome biogenesis protein Slx9 (predicted)"	21570	0	0	1
estExt_fgenesh1_kg.C_810893	21571	0	1	0
estExt_Genemark.C_811665	21572	1	1	0
estExt_Genewise1Plus.C_810597	21575	1	1	0
gw1.6.929.1	21576	0	1	0
fgenesh1_pm.5_#_362	21577	1	1	0
Genemark.5350_g	21578	1	3	0
estExt_fgenesh1_pm.C_41060	21579	1	1	0
estExt_Genewise1Plus.C_40797	21581	0	1	0
Genemark.4341_g	21582	0	1	0
e_gw1.3.2140.1	21583	0	1	0
fgenesh1_pg.1_#_1206	21585	0	1	0
estExt_Genewise1Plus.C_12897	21586	1	1	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21588	2	1	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21590	1	0	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21591	1	1	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21592	1	1	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21593	2	1	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21597	1	1	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21600	1	0	0
 Neurospora crassa OR74A hypothetical protein (173 aa)	21601	1	1	0
"GET complex subunit Get1 (predicted)"	21603	0	0	1
"mitochondrial intermembrane space protein sorting protein (predicted)"	21604	0	0	1
"transcription factor Pcr1"	21605	0	0	1
fgenesh1_pg.81_#_1583	21606	1	1	0
fgenesh1_pm.6_#_337	21610	0	1	0
estExt_fgenesh1_kg.C_50296	21611	1	1	0
e_gw1.5.1816.1	21612	0	1	0
e_gw1.5.1757.1	21613	0	1	0
fgenesh1_pm.5_#_215	21614	0	1	0
e_gw1.5.1815.1	21616	1	1	0
estExt_fgenesh1_kg.C_40305	21617	1	1	0
fgenesh1_pm.4_#_447	21618	0	1	0
fgenesh1_pg.4_#_144	21619	0	1	0
fgenesh1_pg.3_#_1001	21620	0	1	0
fgenesh1_pg.3_#_950	21621	0	1	0
estExt_fgenesh1_kg.C_30378	21622	2	1	1
e_gw1.2.2650.1	21623	0	1	0
fgenesh1_pg.1_#_1045	21625	0	1	0
Genemark.73_g	21627	0	1	0
fgenesh1_pg.1_#_41	21628	0	1	0
 Neurospora crassa OR74A hypothetical protein (172 aa)	21629	1	0	0
 Neurospora crassa OR74A hypothetical protein (172 aa)	21630	1	0	0
 Neurospora crassa OR74A hypothetical protein (172 aa)	21631	1	0	0
 Neurospora crassa OR74A hypothetical protein (172 aa)	21632	1	0	0
 Neurospora crassa OR74A hypothetical protein (172 aa)	21633	1	1	0
 Neurospora crassa OR74A hypothetical protein (172 aa)	21637	1	0	0
 Neurospora crassa OR74A 20S proteasome maturation protein Ump1 (172 aa)	21639	1	1	0
"peptide-methionine (S)-S-oxide reductase MsrA"	21643	0	0	1
"ankyrin repeat protein, implicated in meiosis"	21644	0	0	1
"mRNA cleavage and polyadenylation specificity factor complex Yth1"	21645	0	0	1
Genemark.7670_g	21646	0	1	0
e_gw1.81.2600.1	21647	0	1	0
estExt_Genewise1.C_811063	21648	1	1	1
fgenesh1_pg.81_#_43	21649	1	1	0
fgenesh1_pg.3_#_1065	21654	0	1	0
estExt_fgenesh1_kg.C_30106	21655	1	1	1
estExt_fgenesh1_kg.C_20467	21657	0	1	0
estExt_Genewise1Plus.C_21679	21658	1	1	0
estExt_fgenesh1_kg.C_20256	21659	1	1	0
estExt_fgenesh1_kg.C_10507	21660	1	1	0
estExt_fgenesh1_pm.C_10371	21661	0	1	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21662	1	0	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21663	1	0	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21664	1	0	0
 Neurospora crassa OR74A DUF757 domain-containing protein (171 aa)	21665	1	1	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21667	1	1	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21668	1	1	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21669	1	0	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21672	1	1	0
 Neurospora crassa OR74A PaaI thioesterase (171 aa)	21673	1	1	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21674	1	1	0
 Neurospora crassa OR74A hypothetical protein (171 aa)	21677	1	1	0
"glycine decarboxylase complex subunit H (predicted)"	21678	0	0	1
"translation elongation factor eIF5A (predicted)"	21679	1	1	2
"prefoldin subunit 3 Pac10 (predicted)"	21680	0	0	1
estExt_fgenesh1_kg.C_810165	21681	1	1	0
fgenesh1_pg.81_#_112	21682	0	1	0
Genemark.6989_g	21684	0	1	0
Genemark.6374_g	21685	0	1	0
fgenesh1_pg.5_#_859	21686	0	1	0
estExt_Genemark.C_50107	21688	0	1	0
estExt_Genewise1Plus.C_41480	21690	1	1	0
estExt_fgenesh1_kg.C_20411	21691	1	1	0
estExt_fgenesh1_pg.C_20946	21693	1	1	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21695	1	0	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21697	3	1	0
 Neurospora crassa OR74A glycine cleavage system H protein (170 aa)	21698	1	0	0
 Neurospora crassa OR74A DUF1674 domain-containing protein (170 aa)	21699	1	1	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21700	1	1	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21702	1	0	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21703	1	0	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21704	1	0	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21707	1	1	0
 Neurospora crassa OR74A hypothetical protein (170 aa)	21708	1	1	0
"Ino80 complex subunit Iec3"	21709	0	0	1
"small acidic protein (SMAP) domain containing protein"	21710	0	0	1
"Schizosaccharomyces specific protein"	21713	0	0	1
gw1.6.989.1	21715	0	1	0
fgenesh1_pm.6_#_74	21716	1	1	0
Genemark.5798_g	21717	0	1	0
estExt_Genemark.C_40822	21718	0	1	0
estExt_fgenesh1_pm.C_40200	21719	0	1	0
estExt_fgenesh1_pm.C_30627	21720	1	1	0
fgenesh1_pg.3_#_282	21721	0	1	0
estExt_fgenesh1_pm.C_30020	21722	0	1	0
Genemark.1684_g	21723	0	1	0
estExt_fgenesh1_kg.C_10193	21724	1	1	0
fgenesh1_pm.1_#_292	21725	0	1	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21726	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21728	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21729	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21730	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21732	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21733	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21735	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21736	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21738	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21739	1	1	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21740	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21741	1	1	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21742	1	1	0
 Neurospora crassa OR74A ribonuclease T1 (169 aa)	21744	1	0	0
 Neurospora crassa OR74A hypothetical protein (169 aa)	21745	1	0	0
"caffeine induced death protein Cid2"	21747	0	0	1
"F1-ATPase delta subunit (predicted)"	21749	1	1	1
"N alpha-acetylation related protein Nat2 (predicted)"	21750	0	0	1
"signal peptidase subunit Spc2 (predicted)"	21751	0	0	1
"Schizosaccharomyces specific protein"	21752	0	0	1
estExt_Genewise1Plus.C_815118	21753	2	2	2
estExt_fgenesh1_pg.C_811848	21754	1	1	0
e_gw1.4.2057.1	21759	0	1	0
estExt_Genemark.C_40225	21760	1	1	0
estExt_Genewise1.C_30405	21761	0	1	0
fgenesh1_pm.3_#_103	21762	0	1	0
fgenesh1_kg.1_#_176_#_316_1_CCGZ	21765	0	1	1
 Neurospora crassa OR74A integral membrane protein (168 aa)	21766	1	1	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21768	1	1	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21769	1	1	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21770	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21771	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21773	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21774	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21775	1	0	0
 Neurospora crassa OR74A cAMP-regulated phosphoprotein family protein Igo1 (168 aa)	21776	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21777	2	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21779	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21780	1	0	0
 Neurospora crassa OR74A hypothetical protein (168 aa)	21783	1	0	0
"monothiol glutaredoxin Grx3"	21784	0	0	1
"mitochondrial ribosomal protein subunit S18 (predicted)"	21785	0	0	1
"DASH complex subunit Duo1"	21787	0	0	1
"conserved fungal protein"	21788	0	0	1
"ribosome biogenesis protein Rrs1 (predicted)"	21789	0	0	1
"poly(A) binding protein Pab2"	21790	0	0	1
"Schizosaccharomyces specific protein Adg1"	21792	0	0	1
"SIP/FAR complex subunit, Csc4"	21793	0	0	1
"cytochrome P450 regulator Dap1"	21794	0	0	1
"Schizosaccharomyces pombe specific protein"	21795	0	0	1
"GINS complex subunit Psf3"	21796	0	0	1
"Schizosaccharomyces specific protein"	21797	0	0	1
"dubious"	21798	0	0	1
estExt_fgenesh1_kg.C_810822	21800	1	1	1
fgenesh1_pm.81_#_1256	21801	1	1	0
estExt_fgenesh1_pg.C_810001	21803	1	1	0
Genemark.5377_g	21804	0	1	0
fgenesh1_pg.5_#_95	21805	0	1	0
fgenesh1_pm.4_#_425	21806	0	1	0
fgenesh1_pm.3_#_921	21808	0	1	0
fgenesh1_pg.3_#_5	21809	0	1	0
Genemark.1516_g	21811	1	1	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21813	1	0	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21814	1	0	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21815	1	0	0
 Neurospora crassa OR74A CaaX prenyl proteinase Rce1 (167 aa)	21816	1	0	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21818	1	1	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21819	1	0	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21820	1	0	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21821	1	1	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21826	1	1	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21827	2	1	0
 Neurospora crassa OR74A hypothetical protein (167 aa)	21829	2	0	0
"60S ribosomal protein L12.1/L12A"	21830	1	1	2
"small histone ubiquitination factor Shf1"	21832	0	0	1
"zf PARP type zinc finger protein"	21833	0	0	1
"polyamine N-acetyltransferase (predicted)"	21834	0	0	1
"AP-3 adaptor complex subunit Aps3 (predicted)"	21835	0	0	1
e_gw1.81.2767.1	21836	0	1	1
fgenesh1_pg.81_#_1658	21837	0	1	0
estExt_Genewise1.C_812907	21838	1	1	0
estExt_Genewise1Plus.C_51251	21839	1	1	0
estExt_Genewise1.C_32129	21840	1	1	0
estExt_Genewise1Plus.C_31490	21842	0	1	1
Genemark.2592_g	21844	0	1	0
estExt_fgenesh1_kg.C_10145	21846	1	1	0
Genemark.112_g	21848	0	1	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21849	1	0	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21850	1	0	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21851	1	0	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21852	1	1	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21853	1	0	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21854	1	0	0
 Neurospora crassa OR74A hypothetical protein (166 aa)	21857	1	0	0
"mitochondrial ubiquinone binding protein Coq10"	21862	0	0	1
"Golgi membrane protein involved in vesicle-mediated transport (predicted)"	21863	1	1	1
"tspO homolog, involved in the cytoplasmic to mitochondrial transport of haem (predicted)"	21864	0	0	1
"Schizosaccharomyces pombe specific protein"	21865	0	0	1
"DASH complex subunit Spc34"	21866	0	0	1
"TIM23 translocase complex subunit Tim17 (predicted)"	21867	1	1	1
"cytochrome c oxidase subunit IV (predicted)"	21868	0	0	1
fgenesh1_pg.81_#_1420	21870	0	1	0
estExt_Genewise1.C_810852	21871	1	1	0
estExt_Genewise1Plus.C_810732	21872	0	1	0
fgenesh1_pg.5_#_253	21873	0	1	0
estExt_fgenesh1_pm.C_40791	21875	0	1	0
estExt_Genewise1.C_41162	21876	1	1	0
estExt_fgenesh1_kg.C_30271	21877	1	1	0
estExt_Genemark.C_30241	21879	0	1	0
estExt_fgenesh1_kg.C_10607	21882	1	1	0
estExt_Genewise1.C_11837	21883	1	1	0
estExt_Genewise1.C_10227	21885	1	1	1
 Neurospora crassa OR74A hypothetical protein (165 aa)	21886	1	0	0
 Neurospora crassa OR74A hypothetical protein (165 aa)	21887	1	0	0
 Neurospora crassa OR74A hypothetical protein (165 aa)	21889	1	1	0
 Neurospora crassa OR74A hypothetical protein (165 aa)	21891	1	0	0
 Neurospora crassa OR74A hypothetical protein (165 aa)	21892	1	1	0
 Neurospora crassa OR74A hypothetical protein (165 aa)	21894	1	0	0
 Neurospora crassa OR74A hypothetical protein (165 aa)	21895	1	1	0
"riboflavin kinase Fmn1"	21899	0	0	1
"Schizosaccharomyces specific protein"	21900	0	0	1
"N-acetyltransferase (predicted)"	21901	0	0	1
"Rab GTPase binding protein upregulated in meiosis II (predicted)"	21902	0	0	1
"conserved fungal family"	21903	0	0	1
"SAGA complex/ transcription initiation factor Taf9"	21904	0	0	1
"calcipressin (predicted)"	21905	0	0	1
estExt_Genewise1Plus.C_815166	21906	1	1	0
estExt_Genewise1Plus.C_814919	21907	1	1	1
estExt_Genewise1.C_812087	21909	1	1	0
estExt_Genemark.C_810721	21911	0	1	0
fgenesh1_pg.81_#_432	21912	0	1	0
fgenesh1_pg.6_#_796	21913	0	1	0
estExt_fgenesh1_kg.C_60273	21914	0	1	0
e_gw1.3.2217.1	21917	1	1	0
estExt_fgenesh1_kg.C_20400	21919	2	1	0
Genemark.1847_g	21920	0	1	0
fgenesh1_pm.1_#_1399	21921	0	1	0
Genemark.1302_g	21922	1	1	0
 Neurospora crassa OR74A hypothetical protein (164 aa)	21923	1	0	0
 Neurospora crassa OR74A hypothetical protein (164 aa)	21925	1	0	0
 Neurospora crassa OR74A stress responsive A/B barrel domain-containing protein (164 aa)	21926	1	0	0
 Neurospora crassa OR74A hypothetical protein (164 aa)	21929	1	1	2
 Neurospora crassa OR74A hypothetical protein (164 aa)	21930	1	0	0
"cytosine deaminase (predicted)"	21936	0	0	1
"peptide release factor (predicted)"	21937	0	0	1
"YjgF family protein Mmf1"	21938	0	0	1
"DUF1690 family protein"	21939	0	0	1
"cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp2"	21940	0	0	1
"conserved eukaryotic protein, thioredoxin family"	21941	0	0	1
"VanZ-like family protein"	21942	0	0	1
"Schizosaccharomyces specific protein"	21943	0	0	1
"AP-1 adaptor complex sigma subunit Aps1"	21946	2	2	2
"N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase Alg13 (predicted)"	21947	0	0	1
estExt_Genewise1Plus.C_815451	21948	1	1	0
gw1.81.2794.1	21949	0	1	0
estExt_Genewise1Plus.C_814210	21950	1	1	0
estExt_Genewise1.C_813756	21951	1	1	1
fgenesh1_pg.81_#_1281	21952	0	1	0
estExt_Genemark.C_280001	21953	0	1	0
fgenesh1_pm.6_#_133	21954	0	1	0
estExt_Genewise1.C_31622	21957	1	1	0
Genemark.1614_g	21959	0	1	0
estExt_fgenesh1_kg.C_10563	21960	0	1	0
fgenesh1_pg.1_#_1135	21961	0	1	0
Genemark.814_g	21962	0	1	0
fgenesh1_pg.1_#_596	21963	0	1	0
 Neurospora crassa OR74A hypothetical protein (163 aa)	21965	1	0	0
 Neurospora crassa OR74A hypothetical protein (163 aa)	21966	1	0	0
 Neurospora crassa OR74A HMF1 (163 aa)	21968	1	0	0
 Neurospora crassa OR74A hypothetical protein (163 aa)	21969	1	0	0
 Neurospora crassa OR74A hypothetical protein (163 aa)	21974	1	1	0
 Neurospora crassa OR74A BolA domain-containing protein (163 aa)	21976	1	0	0
"acyl-CoA hydrolase (predicted)"	21979	0	0	1
"transcription corepressor (predicted)"	21980	0	0	1
"Schizosaccharomyces pombe specific protein"	21981	0	0	1
"conserved fungal protein"	21984	0	0	1
"tropomyosin"	21985	1	1	1
"mitochondrial ribosomal protein subunit L23 (predicted)"	21986	0	0	1
estExt_Genewise1Plus.C_814478	21987	1	1	1
estExt_fgenesh1_kg.C_810530	21989	1	1	2
estExt_Genewise1Plus.C_812316	21990	2	1	0
fgenesh1_pm.81_#_830	21991	1	1	0
estExt_Genewise1.C_61523	21992	2	1	0
estExt_Genewise1Plus.C_50975	21993	1	1	0
Genemark.5124_g	21994	1	1	0
fgenesh1_pm.4_#_706	21995	0	1	0
estExt_Genewise1Plus.C_41392	21996	1	1	0
fgenesh1_pg.4_#_85	21997	0	1	0
estExt_Genewise1Plus.C_12663	21998	0	1	0
fgenesh1_pm.1_#_863	21999	0	1	0
 Neurospora crassa OR74A hypothetical protein (162 aa)	22002	1	0	0
 Neurospora crassa OR74A hypothetical protein (162 aa)	22003	1	0	0
 Neurospora crassa OR74A hypothetical protein (162 aa)	22005	1	0	0
 Neurospora crassa OR74A hypothetical protein (162 aa)	22008	1	0	0
"human LAMTOR2 ortholog"	22017	0	0	1
"pig-H (predicted)"	22018	0	0	1
"60S ribosomal protein L21 (predicted)"	22019	1	1	2
"DNA polymerase delta subunit Cdm1"	22020	0	0	1
"mitochondrial fission protein Fis1 (predicted)"	22021	1	1	1
"DUF1772 family protein"	22022	0	0	1
fgenesh1_pg.81_#_1957	22025	0	1	0
e_gw1.81.4685.1	22026	1	1	0
estExt_Genewise1.C_61637	22028	1	1	0
estExt_fgenesh1_kg.C_50292	22029	0	1	0
Genemark.5326_g	22030	0	1	0
fgenesh1_pm.4_#_373	22031	0	1	0
estExt_Genemark.C_40219	22032	1	1	1
fgenesh1_pg.3_#_765	22033	0	1	0
estExt_Genewise1Plus.C_31070	22034	1	1	0
fgenesh1_pg.3_#_144	22035	0	1	0
estExt_Genewise1.C_22430	22036	1	1	0
fgenesh1_pg.2_#_138	22037	0	1	0
estExt_fgenesh1_pm.C_11370	22038	0	1	0
fgenesh1_pg.1_#_944	22039	0	1	0
estExt_fgenesh1_kg.C_10231	22040	1	1	1
 Neurospora crassa OR74A hypothetical protein (161 aa)	22041	1	0	0
 Neurospora crassa OR74A hypothetical protein (161 aa)	22042	1	0	0
 Neurospora crassa OR74A hypothetical protein (161 aa)	22044	1	0	0
 Neurospora crassa OR74A hypothetical protein (161 aa)	22048	1	1	0
